district,province,urban_male,urban_female,urban_total,rural_male,rural_female,rural_total,total_male,total_female,total_both,year
province Center (Kabul),Kabul,1260500,1174900,2435400,,,0,1260500,1174900,2435400,1383
Deh Sabz,Kabul,,,0,23600,22400,46000,23600,22400,46000,1383
Mir Bacha kot,Kabul,,,0,22500,22000,44500,22500,22000,44500,1383
Kalakan,Kabul,,,0,13200,12600,25800,13200,12600,25800,1383
Qara Bagh,Kabul,,,0,33100,31900,65000,33100,31900,65000,1383
Farza,Kabul,,,0,9400,8900,18300,9400,8900,18300,1383
Estalef,Kabul,,,0,14600,14000,28600,14600,14000,28600,1383
Guldara,Kabul,,,0,10000,9500,19500,10000,9500,19500,1383
Shakar Dara,Kabul,,,0,35600,34400,70000,35600,34400,70000,1383
Paghman,Kabul,8800,8100,16900,43900,41600,85500,52700,49700,102400,1383
Chahar Asyab,Kabul,,,0,16200,15000,31200,16200.001,15000,31200,1383
Musahi,Kabul,,,0,10200,9700,19900,10200,9700,19900,1383
Khak-i-Jabar,Kabul,,,0,6300,5900,12200,6300,5900,12200,1383
Bagrami,Kabul,,,0,24200,23000,47200,24200,23000,47200,1383
Surubi,Kabul,,,0,24000,23200,47200,24000,23200,47200,1383
province Center (Mahmood Raqi),Kapisa,700,500,1200,26900,26500,53400,27600,27000,54600,1383
Hissa-e-Duwumi Kohistan,Kapisa,,,0,19400,18900,38300,19400,18900,38300,1383
Hissa-e-Awali Kohistan,Kapisa,,,0,29200,28700,57900,29200,28700,57900,1383
Nijrab,Kapisa,,,0,48300,47300,95600,48300,47300,95600,1383
Koh Band,Kapisa,,,0,10000,10000,20000,10000,10000,20000,1383
Tagab,Kapisa,,,0,34400,34400,68800,34400,34400,68800,1383
Alasai,Kapisa,,,0,16500,15700,32200,16500,15700,32200,1383
province Center (Charikar),Parwan,22600,22100,44700,52300,50300,102600,74900,72400,147300,1383
Saidkheil,Parwan,,,0,19800,19000,38800,19800,19000,38800,1383
Jabull saraj,Parwan,700,700,1400,26800,26100,52899.996,27500,26800,54300,1383
Salang,Parwan,,,0,11100,11000,22100,11100,11000,22100,1383
Shinwari,Parwan,,,0,17700,17300,35000,17700,17300,35000,1383
syahgird ('Ghurband),Parwan,,,0,41100,41200,82299.992,41100,41200,82299.992,1383
Bagram,Parwan,,,0,44500,43700,88200,44500,43700,88200,1383
Shaykh Ali,Parwan,,,0,10700,10300,21000,10700,10300,21000,1383
Surkhi parsa,Parwan,,,0,17700,17100,34800,17700,17100,34800,1383
Koh-e- Safi,Parwan,,,0,13300,13100,26400,13300,13100,26400,1383
province Center (Maidan Shahr),Wardak,1200,1200,2400,16200,15600,31800.002,17400,16800,34200,1383
Jalrez,Wardak,,,0,23000,22100,45100,23000,22100,45100,1383
Hissa-e- awali Behsud,Wardak,,,0,16000,15500,31500,16000,15500,31500,1383
Markaz-e- Behsud,Wardak,,,0,51500,50000,101500,51500,50000,101500,1383
Daimir Dad,Wardak,,,0,13400,13000,26400,13400,13000,26400,1383
Jaghatoo,Wardak,,,0,19800,19100,38899.996,19800,19100,38899.996,1383
Chak-e- Wardak,Wardak,,,0,36800,35000,71800,36800,35000,71800,1383
Sayyid Abad,Wardak,,,0,50600,48200,98799.992,50600,48200,98799.992,1383
Nerkh,Wardak,,,0,25000,23500,48500,25000,23500,48500,1383
province Center(Puli Alam),Logar,2200,2100,4300,43300,42100,85400,45500,44200,89700,1383
Baraki Barak,Logar,1700,1700,3400,36100,34800,70900,37800,36500,74300,1383
Charkh,Logar,,,0,19200,18600,37800,19200,18600,37800,1383
khushi,Logar,,,0,10400,10100,20500,10400,10100,20500,1383
Mohammad Agha,Logar,,,0,32800,31400,64199.996,32800,31400,64199.996,1383
Khar war,Logar,,,0,11300,11000,22300,11300,11000,22300,1383
Azra,Logar,,,0,8900,8400,17300,8900,8400,17300,1383
province Center(Ghazni),Ghazni,23900,22900,46800,45000,43600,88600,68900,66500,135400.02,1383
Deh Yak,Ghazni,,,0,21200,20400,41600.004,21200,20400,41600.004,1383
Zanakhan,Ghazni,,,0,5500,5200,10700,5500,5200,10700,1383
Khwaja Omari,Ghazni,,,0,8100,8000,16100,8100.0005,8000,16100,1383
Rashidan,Ghazni,,,0,7800,7500,15300,7800,7500,15300,1383
Khogiani,Ghazni,,,0,8800,8300,17100,8800,8300,17100,1383
Jaghatoo,Ghazni,,,0,13800,13200,27000,13800,13200,27000,1383
Waghaz,Ghazni,,,0,16900,15900,32800,16900,15900,32800,1383
Qara Bagh,Ghazni,,,0,62100,59400,121500,62100,59400,121500,1383
Giro,Ghazni,,,0,16200,14900,31100,16200.001,14900,31100,1383
Andar,Ghazni,,,0,54500,51600,106100,54500,51600,106100,1383
Nawur,Ghazni,,,0,40900,39600,80500,40900,39600,80500,1383
Ajristan,Ghazni,,,0,12600,11900,24500,12600,11900,24500,1383
Malestan,Ghazni,,,0,35100,34700,69799.992,35100,34700,69799.992,1383
Jaghuri,Ghazni,,,0,76500,73700,150200,76500,73700,150200,1383
Muqur,Ghazni,,,0,22200,20600,42800,22200,20600,42800,1383
Ab Band,Ghazni,,,0,12100,11300,23400,12100,11300,23400,1383
